att1,att2,att3,att4,class
0.730934,0.410052,0.207688,0.332718,0
0.96385,0.939865,0.947342,0.93717,1
0.397102,0.347486,0.294051,0.50651,0
0.115787,0.770526,0.659972,0.156723,1
0.378123,0.139719,0.695036,0.805297,0
0.004803,0.523112,0.744084,0.141997,1
0.577097,0.204874,0.623435,0.184687,0
0.010464,0.161001,0.178021,0.540428,1
0.973983,0.245389,0.394538,0.217587,0
0.592382,0.655158,0.119792,0.652524,1
0.984476,0.206698,0.374662,0.46337,0
0.333514,0.443185,0.504179,0.999078,1
0.428724,0.308058,0.717415,0.962506,0
0.548939,0.555447,0.587878,0.789258,1
0.69905,0.204596,0.254894,0.777982,0
0.224884,0.983105,0.803732,0.836389,1
0.824073,0.123627,0.617021,0.481885,0
0.099564,0.617128,0.028052,0.591478,1
0.679972,0.279966,0.60405,0.849716,0
0.353735,0.598614,0.292087,0.876522,1
0.744311,0.423204,0.375821,0.271286,0
0.72988,0.886741,0.043638,0.457719,1
0.907405,0.246448,0.248472,0.706913,0
0.337626,0.607317,0.315422,0.024429,1
0.450957,0.369103,0.463871,0.177222,0
0.676158,0.71556,0.743469,0.92919,1
0.157467,0.04213,0.378636,0.786676,0
0.316529,0.667058,0.426468,0.400568,1
0.743823,0.365274,0.763859,0.322669,0
0.444403,0.691507,0.719169,0.778016,1
0.65611,0.572209,0.556022,0.250286,0
0.175545,0.444767,0.829811,0.601955,1
0.637967,0.303332,0.065337,0.938119,0
0.303869,0.37191,0.857253,0.807146,1
0.388654,0.26521,0.032305,0.669835,0
0.074165,0.609123,0.178629,0.029591,1
0.708201,0.277742,0.11574,0.691279,0
0.16744,0.594612,0.810005,0.514957,1
0.348891,0.053045,0.606257,0.681578,0
0.224436,0.444572,0.707704,0.029756,1
0.658922,0.315884,0.815886,0.155555,0
0.315212,0.696099,0.094824,0.958899,1
0.129503,0.023549,0.084665,0.052282,0
0.46991,0.819675,0.969249,0.34999,1
0.272767,0.011178,0.794134,0.100343,0
0.819032,0.747849,0.379877,0.107673,1
0.766102,0.208742,0.945249,0.027531,0
0.214668,0.833766,0.255701,0.640616,1
0.461335,0.119595,0.510628,0.742991,0
0.056667,0.55982,0.368007,0.882315,1
0.880091,0.060412,0.071707,0.22924,0
0.222482,0.645443,0.292975,0.885585,1
0.796763,0.707914,0.466126,0.803389,0
0.081891,0.47958,0.961332,0.238101,1
0.799,0.349748,0.129924,0.892076,0
0.554386,0.916761,0.380366,0.172476,1
0.875401,0.412412,0.529305,0.633095,0
0.160872,0.246212,0.852046,0.049094,1
0.889943,0.027613,0.612017,0.290072,0
0.081435,0.771459,0.359348,0.603165,1
0.88458,0.657466,0.643352,0.067764,0
0.53051,0.912979,0.943839,0.934584,1
0.173233,0.165516,0.922449,0.996159,0
0.736559,0.819008,0.582044,0.44774,1
0.668908,0.312297,0.888553,0.721826,0
0.741005,0.850338,0.5331,0.267727,1
0.811365,0.529602,0.72145,0.528997,0
0.629002,0.711955,0.357322,0.931051,1
0.965996,0.317329,0.491377,0.969903,0
0.677003,0.768805,0.099024,0.420159,1
0.500461,0.326132,0.006977,0.237406,0
0.306844,0.60811,0.239048,0.472076,1
0.947207,0.275102,0.338519,0.479615,0
0.279006,0.776802,0.195084,0.592406,1
0.821259,0.516017,0.147514,0.443773,0
0.018179,0.959208,0.064609,0.11753,1
0.899718,0.616809,0.491876,0.850897,0
0.196222,0.475514,0.57237,0.284689,1
0.426404,0.210245,0.839984,0.000217,0
0.747409,0.681759,0.962522,0.044149,1
0.177705,0.129067,0.72315,0.180302,0
0.333381,0.822732,0.196037,0.262229,1
0.759353,0.203675,0.450413,0.427248,0
0.51937,0.700976,0.024744,0.638731,1
0.43384,0.38761,0.005839,0.908198,0
0.078334,0.894194,0.568121,0.817985,1
0.46482,0.057692,0.745125,0.953502,0
0.074423,0.879714,0.776621,0.755551,1
0.649776,0.16402,0.982627,0.157372,0
0.07474,0.679135,0.225935,0.711617,1
0.862583,0.681667,0.935983,0.989646,0
0.028212,0.592396,0.894812,0.573006,1
0.504785,0.197462,0.30797,0.417594,0
0.338184,0.485818,0.007977,0.326809,1
0.766882,0.379006,0.350394,0.17542,0
0.24527,0.692098,0.349378,0.303012,1
0.938927,0.358006,0.122658,0.182834,0
0.378658,0.9958,0.619356,0.695042,1
0.329269,0.058887,0.639923,0.271916,0
0.268666,0.876911,0.631638,0.813657,1
0.845874,0.051687,0.900484,0.448366,0
0.126736,0.504672,0.67027,0.122509,1
0.959802,0.502603,0.108291,0.477623,0
0.213625,0.559892,0.614761,0.736592,1
0.404565,0.087413,0.66738,0.844682,0
0.185325,0.463718,0.075766,0.296902,1
0.60808,0.12051,0.669692,0.209916,0
0.000534,0.877343,0.75596,0.352418,1
0.567692,0.207031,0.395485,0.650552,0
0.194392,0.919904,0.912027,0.994864,1
0.77242,0.44924,0.647231,0.867069,0
0.866153,0.951383,0.246518,0.270005,1
0.345725,0.149284,0.951357,0.833909,0
0.306182,0.78842,0.253355,0.357978,1
0.756982,0.661304,0.786672,0.734085,0
0.376795,0.836737,0.418398,0.992062,1
0.719242,0.314116,0.517881,0.968943,0
0.013882,0.642354,0.805183,0.135806,1
0.497108,0.473871,0.381634,0.734639,0
0.67636,0.850131,0.214955,0.641242,1
0.731227,0.058684,0.644734,0.336353,0
0.479983,0.88728,0.890231,0.807189,1
0.421591,0.296285,0.667362,0.048112,0
0.456412,0.820814,0.142903,0.248484,1
0.358122,0.099111,0.066349,0.013738,0
0.201616,0.615608,0.813877,0.759956,1
0.287138,0.073115,0.473722,0.528921,0
0.173507,0.998637,0.341396,0.869546,1
0.567138,0.530561,0.827227,0.129067,0
0.132832,0.946325,0.645892,0.271642,1
0.72643,0.088463,0.906921,0.799465,0
0.385398,0.989791,0.717532,0.270403,1
0.45689,0.070284,0.399943,0.888024,0
0.480351,0.671378,0.208466,0.169626,1
0.994839,0.242682,0.967283,0.945032,0
0.22656,0.895892,0.673068,0.354628,1
0.881331,0.517229,0.444584,0.535381,0
0.068876,0.203341,0.911509,0.245232,1
0.370348,0.307698,0.068421,0.313412,0
0.422438,0.866151,0.632692,0.674724,1
0.652455,0.448236,0.602808,0.543437,0
0.285446,0.836151,0.790177,0.097034,1
0.846541,0.41696,0.38397,0.130107,0
0.114727,0.909677,0.281747,0.237333,1
0.945238,0.095268,0.909686,0.126974,0
0.095455,0.209469,0.787768,0.612121,1
0.663864,0.149773,0.497249,0.954263,0
0.29672,0.931111,0.642986,0.349674,1
0.751259,0.401431,0.759873,0.829173,0
0.443205,0.777399,0.589458,0.581136,1
0.485773,0.250304,0.29251,0.008328,0
0.210439,0.961014,0.289779,0.490453,1
0.950598,0.471007,0.804436,0.52492,0
0.126447,0.555785,0.078364,0.089714,1
0.089341,0.001922,0.41651,0.552708,0
0.127974,0.838597,0.146557,0.788314,1
0.854088,0.14358,0.44698,0.948268,0
0.082228,0.746517,0.518436,0.174322,1
0.855985,0.02292,0.468897,0.55242,0
0.122452,0.916505,0.853495,0.066983,1
0.716101,0.222396,0.492571,0.358515,0
0.223748,0.420232,0.696497,0.793436,1
0.778373,0.320826,0.524574,0.032084,0
0.064787,0.974825,0.323941,0.933185,1
0.536017,0.034944,0.671648,0.535345,0
0.283846,0.810783,0.667397,0.28845,1
0.554943,0.003452,0.836996,0.648163,0
0.67586,0.712382,0.550701,0.012531,1
0.095697,0.055724,0.433902,0.699889,0
0.195512,0.716222,0.500618,0.97803,1
0.694856,0.094422,0.545961,0.460087,0
0.731781,0.909637,0.622348,0.956762,1
0.919051,0.157253,0.198615,0.314424,0
0.645118,0.789496,0.854186,0.367714,1
0.596613,0.083998,0.876793,0.140391,0
0.209221,0.975175,0.989559,0.771934,1
0.573551,0.472058,0.014193,0.282805,0
0.708906,0.99123,0.305212,0.156013,1
0.763421,0.48508,0.862397,0.038249,0
0.139393,0.315824,0.803804,0.934298,1
0.362317,0.276001,0.905758,0.671992,0
0.237536,0.382648,0.157113,0.942073,1
0.650434,0.053938,0.484413,0.89363,0
0.208253,0.606956,0.707677,0.218977,1
0.740037,0.626486,0.647438,0.127018,0
0.535736,0.762861,0.075425,0.651544,1
0.685437,0.25337,0.206663,0.108526,0
0.417009,0.538972,0.771096,0.698687,1
0.924842,0.369188,0.898862,0.902301,0
0.818371,0.861333,0.291757,0.343185,1
0.869877,0.099359,0.920592,0.439723,0
0.07858,0.392799,0.893381,0.89668,1
0.623754,0.492797,0.685861,0.463787,0
0.127592,0.384944,0.338704,0.153772,1
0.475443,0.209071,0.150811,0.196702,0
0.117745,0.560912,0.65639,0.831205,1
