salary,commission,age,elevel=level0,elevel=level1,elevel=level2,elevel=level3,elevel=level4,car=car1,car=car2,car=car3,car=car4,car=car5,car=car6,car=car7,car=car8,car=car9,car=car10,car=car11,car=car12,car=car13,car=car14,car=car15,car=car16,car=car17,car=car18,car=car19,car=car20,zipcode=zipcode1,zipcode=zipcode2,zipcode=zipcode3,zipcode=zipcode4,zipcode=zipcode5,zipcode=zipcode6,zipcode=zipcode7,zipcode=zipcode8,zipcode=zipcode9,hvalue,hyears,loan,class
0.696152,0,0.566667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.709448,1
0.610378,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.896552,0.427721,0
0.151697,0.326634,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.37931,0.806938,1
0.212163,0.988043,0.266667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.395569,0.758621,0.504308,0
0.942091,0,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.275862,0.031098,1
0.524924,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.518474,0
0.318973,0.576351,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.655172,0.628409,1
0.416876,0,0.966667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.310345,0.849461,0
0.234019,0.913709,0.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.724138,0.191644,1
0.086086,0.782239,0.083333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.068966,0.917584,0
0.901819,0,0.583333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.758621,0.327275,1
0.117802,0.57357,0.716667,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.793103,0.287241,0
0.656016,0,0.55,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.482759,0.206166,1
0.84039,0,0.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.206897,0.14277,0
