att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,class
0.751855,0.513778,0.737781,0.475518,0.748843,0.22775,-0.059722,0.518765,0.394661,0.505475,0
0.911866,-0.278549,0.185273,0.615418,0.933489,0.501234,0.306978,0.1951,0.897838,0.4174,1
0.665122,0.279246,0.605827,0.852831,0.341612,0.603737,0.279046,0.856194,0.730223,0.40991,0
0.340232,0.787435,0.520714,0.510568,0.148652,0.635747,0.64917,0.921589,0.346524,0.046443,1
0.866647,0.876073,0.445907,0.38166,0.313803,0.083183,0.428891,0.227623,0.490827,0.966,1
-0.513506,-0.685883,1.368715,2.034042,0.358646,0.203537,-0.019544,-0.844992,-0.430317,1.970143,1
0.164695,0.459296,0.583966,0.601869,0.23235,0.59588,0.195924,-0.02939,0.171746,0.154232,1
0.683588,0.467406,0.470576,0.930656,0.47847,0.453846,0.337089,0.869464,0.59026,0.468303,0
0.78763,0.145077,-0.056655,0.444395,0.831213,0.070655,1.180711,0.84914,1.008412,0.808044,0
0.368666,0.452332,0.344682,0.461844,0.482153,0.996943,0.647866,0.928947,0.486583,0.504161,0
0.443689,0.402759,0.345549,0.452519,0.526544,1.055309,0.595343,0.874799,0.536269,0.469007,0
0.834527,0.686946,0.284221,1.015557,0.595142,-0.449958,0.448821,0.032037,0.757012,0.632403,0
0.505904,0.767987,0.729004,0.648364,0.25612,0.610462,0.750924,0.708578,0.221975,-0.055659,1
0.497559,0.633998,0.449331,0.665291,0.006224,0.712906,0.743519,0.813206,0.57957,-0.082115,1
0.497445,0.064259,0.421037,0.249839,0.775778,0.080811,0.481955,0.554805,0.322772,0.380752,1
0.253929,0.811211,0.497998,0.767451,-0.267559,0.596711,0.419758,1.069273,0.689311,0.045554,1
0.819249,0.46857,0.335194,0.255555,0.952595,0.279333,-0.078119,0.608486,0.569197,0.911412,0
0.167804,0.472368,0.568021,0.571083,0.22263,0.649296,0.173231,0.022936,0.182226,0.167512,1
0.382177,0.472553,0.33099,0.434632,0.503722,1.003162,0.642779,0.906644,0.502634,0.489133,0
0.508182,0.245454,0.73345,0.556427,0.452908,0.48384,0.489005,0.661664,0.715193,0.310804,0
0.480949,0.128806,0.238555,0.491279,0.519387,0.337269,0.811362,0.781764,0.634991,0.460989,1
0.405406,0.85245,-0.145342,0.058346,1.100743,0.440373,0.669217,1.262233,0.454484,1.460039,0
0.864234,0.87286,0.054923,1.471083,0.78478,0.213085,0.743318,0.546197,0.934286,0.715908,0
0.36802,0.841913,0.580392,0.577799,0.054551,0.726195,0.588702,0.920062,0.489968,0.029984,1
0.531141,0.633706,0.96897,0.632782,0.267251,0.408382,0.453799,0.366286,0.170754,0.335554,1
0.796323,0.285681,0.475547,0.922575,0.36686,0.603899,0.41303,0.985383,0.634735,0.321756,0
0.710569,0.35546,0.524046,0.863515,0.429302,0.564043,0.288483,0.86535,0.659261,0.447632,0
0.364958,0.465611,0.332855,0.439776,0.512889,1.005534,0.621317,0.921227,0.497593,0.503649,0
0.863534,0.645909,0.366558,0.972663,0.26363,0.714856,0.176785,0.54019,0.606516,0.297923,0
0.497861,0.059228,0.406099,0.288606,0.766483,0.074335,0.563621,0.57939,0.385163,0.476404,1
0.135102,0.589114,0.944292,0.523963,0.638118,0.741294,0.285044,0.082562,0.59269,0.324345,1
0.814263,0.679148,0.610999,0.475938,-0.008339,0.097789,0.778353,0.282312,0.753487,0.988499,1
0.72738,0.248065,0.700445,0.796408,0.330033,0.702902,0.251214,0.874504,0.849406,0.462843,0
