numeric1,numeric2,numeric3,numeric4,numeric5,numeric6,numeric7,numeric8,class
0.730878,0.410081,0.207715,0.332717,0.967756,0.006117,0.963705,0.939865,1
0.947195,0.937082,0.397174,0.347518,0.294057,0.506484,0.115967,0.770536,1
0.659893,0.156747,0.378202,0.139763,0.694948,0.805228,0.005025,0.523135,1
0.743984,0.142023,0.481728,0.544555,0.5771,0.204914,0.623364,0.184707,1
0.010684,0.161043,0.178055,0.540397,0.973834,0.245427,0.394521,0.217602,0
0.432007,0.233156,0.889909,0.038327,0.592379,0.655174,0.119839,0.652477,1
0.984323,0.206738,0.37465,0.46335,0.33361,0.443212,0.504136,0.998981,1
0.630405,0.909584,0.50766,0.491451,0.428784,0.308093,0.717322,0.962415,1
0.209493,0.172649,0.548953,0.555468,0.587816,0.789191,0.699007,0.204636,1
0.254909,0.777916,0.225022,0.983103,0.803619,0.836315,0.163104,0.637497,0
0.00876,0.63119,0.207978,0.880357,0.707044,0.723372,0.509493,0.987102,0
0.153246,0.710575,0.823981,0.123671,0.616951,0.481862,0.09975,0.617146,1
0.02812,0.591439,0.073026,0.074048,0.679935,0.280002,0.603984,0.849641,0
0.353823,0.598632,0.292093,0.876443,0.74425,0.423233,0.375808,0.271293,0
0.729824,0.886744,0.043703,0.4577,0.86245,0.901924,0.062488,0.76382,0
0.4277,0.999183,0.061902,0.586321,0.567293,0.662026,0.907281,0.246486,0
0.248489,0.706858,0.337721,0.607335,0.315423,0.024472,0.451009,0.369134,1
0.463838,0.177243,0.676123,0.715572,0.74337,0.929103,0.589894,0.644012,1
0.11049,0.774604,0.306483,0.880599,0.630401,0.928894,0.196689,0.754646,0
0.157631,0.042179,0.378623,0.786609,0.712752,0.110274,0.762133,0.030069,1
0.316631,0.667073,0.426443,0.400557,0.743762,0.365306,0.763755,0.322669,1
0.512719,0.478676,0.131169,0.031796,0.444457,0.691521,0.719076,0.77795,0
0.288101,0.781355,0.966254,0.996523,0.239106,0.445181,0.130222,0.234474,1
0.656082,0.57223,0.555967,0.250296,0.920281,0.723751,0.776991,0.242276,1
0.175702,0.444794,0.829691,0.601915,0.637947,0.303367,0.065397,0.938031,1
0.266417,0.229171,0.303976,0.371941,0.857127,0.807076,0.388729,0.265246,0
0.032373,0.669785,0.074361,0.609141,0.178662,0.029633,0.708154,0.277778,1
0.115788,0.691226,0.349011,0.228136,0.1676,0.594631,0.80989,0.514929,0
0.348981,0.053093,0.60619,0.681526,0.583743,0.369752,0.945992,0.686431,1
0.224574,0.444599,0.707614,0.029798,0.658894,0.315918,0.81577,0.155579,1
0.453404,0.319708,0.549693,0.522259,0.315315,0.696113,0.094877,0.958808,1
0.129678,0.023599,0.084721,0.052321,0.469954,0.819682,0.969097,0.349986,0
0.272886,0.011229,0.794023,0.100375,0.818942,0.74786,0.379863,0.107704,1
0.766033,0.208782,0.945102,0.027574,0.746923,0.636326,0.938539,0.093859,1
0.959682,0.81878,0.21481,0.833772,0.255716,0.64057,0.716492,0.801783,0
0.461383,0.11964,0.510583,0.742931,0.05687,0.559841,0.367996,0.882235,0
0.879977,0.06046,0.071766,0.229253,0.222621,0.645459,0.292982,0.885505,0
0.544344,0.701811,0.183051,0.347333,0.039794,0.249285,0.796681,0.707927,0
0.466092,0.80332,0.082084,0.479606,0.961182,0.238113,0.453188,0.481088,0
0.065748,0.108823,0.893238,0.864376,0.798918,0.349781,0.129969,0.891994,1
0.431965,0.129873,0.669616,0.517706,0.554398,0.916763,0.380352,0.172498,1
0.133272,0.478372,0.87529,0.412441,0.529256,0.633051,0.161035,0.24625,1
0.851922,0.049134,0.889826,0.027663,0.611949,0.290077,0.081628,0.771469,1
0.359339,0.603125,0.367112,0.631842,0.884465,0.657482,0.643277,0.067801,1
0.60272,0.552196,0.530531,0.912981,0.943693,0.934496,0.173391,0.165558,1
0.922308,0.996062,0.7365,0.819015,0.581983,0.447722,0.413509,0.465612,1
0.668876,0.312331,0.88842,0.721769,0.721435,0.521094,0.967329,0.748228,1
0.740945,0.850344,0.53305,0.267735,0.746436,0.693804,0.065947,0.519111,1
0.811278,0.529625,0.721356,0.528968,0.628985,0.711968,0.357314,0.930963,1
0.262171,0.393711,0.96585,0.317363,0.491337,0.96981,0.676968,0.768814,1
0.099076,0.420145,0.876458,0.775617,0.500493,0.326165,0.00705,0.237418,1
0.362094,0.137419,0.306951,0.608128,0.239067,0.472055,0.080653,0.538994,0
0.804852,0.849638,0.093962,0.565148,0.947068,0.275139,0.338515,0.479592,1
0.860321,0.5197,0.720625,0.043435,0.279124,0.776811,0.195114,0.592368,1
0.163075,0.611757,0.486869,0.916713,0.471673,0.767731,0.821168,0.516041,1
