att1,att2,att3,att4,class
0.730878,0.410081,0.207715,0.332717,0
0.963705,0.939865,0.947195,0.937082,1
0.397174,0.347518,0.294057,0.506484,0
0.115967,0.770536,0.659893,0.156747,1
0.378202,0.139763,0.694948,0.805228,0
0.005025,0.523135,0.743984,0.142023,1
0.5771,0.204914,0.623364,0.184707,0
0.010684,0.161043,0.178055,0.540397,1
0.973834,0.245427,0.394521,0.217602,0
0.592379,0.655174,0.119839,0.652477,1
0.984323,0.206738,0.37465,0.46335,0
0.33361,0.443212,0.504136,0.998981,1
0.428784,0.308093,0.717322,0.962415,0
0.548953,0.555468,0.587816,0.789191,1
0.699007,0.204636,0.254909,0.777916,0
0.225022,0.983103,0.803619,0.836315,1
0.823981,0.123671,0.616951,0.481862,0
0.09975,0.617146,0.02812,0.591439,1
0.679935,0.280002,0.603984,0.849641,0
0.353823,0.598632,0.292093,0.876443,1
0.74425,0.423233,0.375808,0.271293,0
0.729824,0.886744,0.043703,0.4577,1
0.907281,0.246486,0.248489,0.706858,0
0.337721,0.607335,0.315423,0.024472,1
0.451009,0.369134,0.463838,0.177243,0
0.676123,0.715572,0.74337,0.929103,1
0.157631,0.042179,0.378623,0.786609,0
0.316631,0.667073,0.426443,0.400557,1
0.743762,0.365306,0.763755,0.322669,0
0.444457,0.691521,0.719076,0.77795,1
0.656082,0.57223,0.555967,0.250296,0
0.175702,0.444794,0.829691,0.601915,1
0.637947,0.303367,0.065397,0.938031,0
0.303976,0.371941,0.857127,0.807076,1
0.388729,0.265246,0.032373,0.669785,0
0.074361,0.609141,0.178662,0.029633,1
0.708154,0.277778,0.115788,0.691226,0
0.1676,0.594631,0.80989,0.514929,1
0.348981,0.053093,0.60619,0.681526,0
0.224574,0.444599,0.707614,0.029798,1
0.658894,0.315918,0.81577,0.155579,0
0.315315,0.696113,0.094877,0.958808,1
0.129678,0.023599,0.084721,0.052321,0
0.469954,0.819682,0.969097,0.349986,1
0.272886,0.011229,0.794023,0.100375,0
0.818942,0.74786,0.379863,0.107704,1
0.766033,0.208782,0.945102,0.027574,0
0.21481,0.833772,0.255716,0.64057,1
0.461383,0.11964,0.510583,0.742931,0
0.05687,0.559841,0.367996,0.882235,1
0.879977,0.06046,0.071766,0.229253,0
0.222621,0.645459,0.292982,0.885505,1
0.796681,0.707927,0.466092,0.80332,0
0.082084,0.479606,0.961182,0.238113,1
0.798918,0.349781,0.129969,0.891994,0
0.554398,0.916763,0.380352,0.172498,1
0.87529,0.412441,0.529256,0.633051,0
0.161035,0.24625,0.851922,0.049134,1
0.889826,0.027663,0.611949,0.290077,0
0.081628,0.771469,0.359339,0.603125,1
0.884465,0.657482,0.643277,0.067801,0
0.530531,0.912981,0.943693,0.934496,1
0.173391,0.165558,0.922308,0.996062,0
0.7365,0.819015,0.581983,0.447722,1
0.668876,0.312331,0.88842,0.721769,0
0.740945,0.850344,0.53305,0.267735,1
0.811278,0.529625,0.721356,0.528968,0
0.628985,0.711968,0.357314,0.930963,1
0.96585,0.317363,0.491337,0.96981,0
0.676968,0.768814,0.099076,0.420145,1
0.500493,0.326165,0.00705,0.237418,0
0.306951,0.608128,0.239067,0.472055,1
0.947068,0.275139,0.338515,0.479592,0
0.279124,0.776811,0.195114,0.592368,1
0.821168,0.516041,0.147554,0.443755,0
0.018396,0.959208,0.064669,0.11756,1
0.899597,0.616826,0.491836,0.850822,0
0.196371,0.47554,0.572311,0.284694,1
0.426465,0.210285,0.839862,0.000263,0
0.747347,0.681773,0.962371,0.044189,1
0.177861,0.129111,0.723056,0.180322,0
0.333478,0.822739,0.196066,0.262238,1
0.759286,0.203715,0.450383,0.427233,0
0.519395,0.700989,0.024813,0.638686,1
0.433898,0.38764,0.005913,0.908114,0
0.078529,0.894197,0.568063,0.817914,1
0.464866,0.05774,0.745025,0.953412,0
0.074619,0.879717,0.776514,0.755489,1
0.649751,0.164062,0.982472,0.157395,0
0.074936,0.679149,0.225957,0.711561,1
0.862476,0.681682,0.935838,0.98955,0
0.028426,0.592415,0.894678,0.57297,1
0.504816,0.197502,0.307974,0.41758,0
0.338278,0.485843,0.00805,0.326808,1
0.766812,0.379037,0.350387,0.175441,0
0.245401,0.692112,0.349371,0.303015,1
0.938791,0.358038,0.122705,0.182854,0
0.378737,0.995798,0.619286,0.694989,1
0.329367,0.058935,0.639848,0.271923,0
0.268788,0.876915,0.631565,0.813586,1
0.845774,0.051735,0.900348,0.448348,0
0.126911,0.504696,0.670188,0.122538,1
0.959658,0.502627,0.108341,0.477601,0
0.213767,0.559913,0.614692,0.736533,1
0.404634,0.087459,0.667299,0.844607,0
0.185479,0.463744,0.075823,0.296906,1
0.608071,0.120555,0.66961,0.209932,0
0.000758,0.877347,0.755858,0.352414,1
0.567698,0.207071,0.395468,0.650505,0
0.194542,0.919905,0.911888,0.994767,1
0.772348,0.449267,0.647154,0.866991,0
0.866045,0.951383,0.246536,0.270013,1
0.345817,0.149326,0.951209,0.833835,0
0.306289,0.788428,0.253371,0.357973,1
0.756916,0.661319,0.786563,0.734027,0
0.376875,0.836744,0.418375,0.991966,1
0.71919,0.31415,0.517835,0.968851,0
0.014101,0.64237,0.80507,0.135833,1
0.497141,0.473896,0.38162,0.73458,0
0.676324,0.850137,0.21498,0.641196,1
0.73117,0.058732,0.644658,0.336351,0
0.480023,0.887283,0.890098,0.807119,1
0.421653,0.29632,0.667281,0.048151,0
0.456462,0.820821,0.142944,0.248495,1
0.358209,0.099156,0.066409,0.013782,0
0.201763,0.615626,0.813761,0.759893,1
0.287253,0.073162,0.473687,0.528891,0
0.173665,0.998635,0.341391,0.869467,1
0.567145,0.530583,0.827108,0.129094,0
0.133005,0.946326,0.645816,0.271649,1
0.726376,0.088509,0.906783,0.799396,0
